O'Hare    Jefferson_Park
Jefferson_Park    Forest_Park
Forest_Park    The_Loop
The_Loop    United_Center 
The_Loop    Division
Division    The_Loop
United_Center    Chicago
United_Center    Addison
Addison    United_Center
Chicago    Belmont
Chicago    Austin
Austin    Chicago
Belmont    Wrigley_Field
Wrigley_Field    Midway
Wrigley_Field    Addison
Addison    Wrigley_Field
Midway    Soldier_Field
Soldier_Field    U_Of_Chicago
U_Of_Chicago    Water_Way
Water_Way    White_Sox
Water_Way    Dammen
Dammen    Water_Way
White_Sox    South_Side_Business
White_Sox    Addison
Addison    White_Sox
South_Side_Business    Juice_WRLD_Memorial
South_Side_Business    Division
Division    South_Side_Business
Juice_WRLD_Memorial    South_Side_Business
South_Side_Business    White_Sox
White_Sox    Water_Way
Water_Way    U_Of_Chicago
U_Of_Chicago    Soldier_Field
Soldier_Field    Midway
Midway    Wrigley_Field
Wrigley_Field    Belmont
Belmont    Chicago
Chicago    United_Center
United_Center    The_Loop
The_Loop    Forest_Park
Forest_Park    Jefferson_Park
Jefferson_Park    O'Hare
